  TRADE LOG — 3x 15% max5
================================================================================
          Date       Symbol               Signal   Alloc$     PnL%      PnL$     Equity
  -------------------------------------------------------------------------------------
    2023-03-12       OPUSDT           div_top_1d $    150   -24.0%      -36$ $      964
    2023-03-14      FILUSDT    liq_short_squeeze $    145   -24.0%      -35$ $      929
    2023-03-14       OPUSDT    liq_short_squeeze $    145   -24.0%      -35$ $      895
    2023-03-14      BTCUSDT           fund_spike $    145    +0.0%       +0$ $      895
    2023-03-15     DOGEUSDT           fund_spike $    134   -12.4%      -17$ $      878
    2023-03-13      ETHUSDT    liq_short_squeeze $    145   +24.5%      +35$ $      913
    2023-03-29      XRPUSDT    liq_short_squeeze $    137    -5.3%       -7$ $      906
    2023-04-05     DOGEUSDT         distribution $    136   +15.0%      +20$ $      927
    2023-04-13      ETHUSDT        overextension $    139    -7.0%      -10$ $      917
    2023-06-09      ADAUSDT       div_squeeze_3d $    138   +18.7%      +26$ $      943
    2023-06-10      ADAUSDT       vol_divergence $    141    +0.0%       +0$ $      943
    2023-06-21      BTCUSDT    liq_short_squeeze $    141    +3.0%       +4$ $      947
    2023-06-21       OPUSDT    liq_short_squeeze $    141   -10.4%      -15$ $      932
    2023-06-05     AAVEUSDT       div_squeeze_3d $    138   -24.0%      -33$ $      899
    2023-06-03      SUIUSDT       div_squeeze_3d $    138   +75.1%     +103$ $    1,002
    2023-06-05      BNBUSDT       div_squeeze_3d $    138   +41.3%      +57$ $    1,059
    2023-06-30      SOLUSDT    liq_short_squeeze $    135   +44.6%      +60$ $    1,119
    2023-07-13      LTCUSDT    liq_short_squeeze $    168   -24.0%      -40$ $    1,079
    2023-07-14      XRPUSDT           fund_spike $    162    +0.0%       +0$ $    1,079
    2023-07-29      UNIUSDT        overextension $    162    -5.0%       -8$ $    1,071
    2023-08-02      UNIUSDT       vol_divergence $    161    -5.5%       -9$ $    1,062
    2023-08-01      UNIUSDT        overextension $    161   +26.7%      +43$ $    1,105
    2023-08-18     DOGEUSDT           div_top_1d $    166   -24.0%      -40$ $    1,065
    2023-07-31     AAVEUSDT       div_squeeze_3d $    161   +34.8%      +56$ $    1,121
    2023-08-12      UNIUSDT     oi_buildup_stall $    166  +102.0%     +169$ $    1,290
    2023-08-18      ADAUSDT           div_top_1d $    166   +19.1%      +32$ $    1,322
    2023-08-29      UNIUSDT           div_top_1d $    160   +23.8%      +38$ $    1,360
    2023-10-16      BTCUSDT    liq_short_squeeze $    204    +0.1%       +0$ $    1,360
    2023-10-23     LINKUSDT    liq_short_squeeze $    204   -24.0%      -49$ $    1,311
    2023-10-23     AAVEUSDT    liq_short_squeeze $    204    -5.4%      -11$ $    1,300
    2023-11-01      SOLUSDT    liq_short_squeeze $    195   -16.7%      -33$ $    1,268
    2023-11-02      UNIUSDT           fund_spike $    195    +0.0%       +0$ $    1,268
    2023-11-04      SOLUSDT         distribution $    190   +15.0%      +29$ $    1,296
    2023-11-05     LINKUSDT           fund_spike $    194   -10.9%      -21$ $    1,275
    2023-11-06      UNIUSDT    liq_short_squeeze $    191    -4.3%       -8$ $    1,267
    2023-11-06      BNBUSDT        overextension $    191    +7.0%      +13$ $    1,280
    2023-11-07      UNIUSDT           fund_spike $    192   -11.0%      -21$ $    1,259
    2023-11-01      TRXUSDT    liq_short_squeeze $    195   +15.5%      +30$ $    1,289
    2023-11-09      BTCUSDT    liq_short_squeeze $    189    +2.8%       +5$ $    1,295
    2023-11-09      XRPUSDT           fund_spike $    189    +0.0%       +0$ $    1,295
    2023-11-11      UNIUSDT           fund_spike $    194    +0.0%       +0$ $    1,295
    2023-11-09      ETHUSDT           fund_spike $    189    +7.1%      +13$ $    1,308
    2023-11-13      FILUSDT           fund_spike $    196    +0.0%       +0$ $    1,308
    2023-11-13      ETHUSDT           fund_spike $    196   +10.1%      +20$ $    1,328
    2023-11-14      SEIUSDT    liq_short_squeeze $    199   +33.2%      +66$ $    1,394
    2023-11-21     AVAXUSDT        overextension $    209   -24.3%      -51$ $    1,343
    2023-11-09      SOLUSDT    liq_short_squeeze $    189   +79.3%     +150$ $    1,493
    2023-11-23      UNIUSDT    liq_short_squeeze $    201    -3.5%       -7$ $    1,486
    2023-11-26     ATOMUSDT    liq_short_squeeze $    223    -6.6%      -15$ $    1,471
    2023-11-26      UNIUSDT        overextension $    223    +1.2%       +3$ $    1,474
    2023-11-27     ATOMUSDT             overheat $    221    +0.5%       +1$ $    1,475
    2023-12-04      BTCUSDT    liq_short_squeeze $    221   +12.6%      +28$ $    1,503
    2023-12-06     AVAXUSDT           fund_spike $    225   -16.5%      -37$ $    1,466
    2023-12-07      SOLUSDT        overextension $    220   -17.8%      -39$ $    1,426
    2023-11-21      BNBUSDT       div_squeeze_3d $    209   -24.0%      -50$ $    1,376
    2023-12-08     DOGEUSDT           fund_spike $    214    +0.0%       +0$ $    1,376
    2023-12-09     AVAXUSDT           fund_spike $    206   -19.4%      -40$ $    1,336
    2023-12-09     NEARUSDT           fund_spike $    206   -13.1%      -27$ $    1,309
    2023-12-06      BTCUSDT         distribution $    225   +15.0%      +34$ $    1,343
    2023-12-09      UNIUSDT           fund_spike $    206   +25.7%      +53$ $    1,396
